c1_2_1   20 2704.57
c1_2_2   18 2917.89
c1_2_3   18 2707.35
c1_2_4   18 2643.31
c1_2_5   20 2702.05
c1_2_6   20 2701.04
c1_2_7   20 2701.04
c1_2_8   18 2769.19
c1_2_9   18 2642.82
c1_210   18 2643.51
c1_4_1   40 7152.02
c1_4_2   36 7687.38
c1_4_3   36 7060.73
c1_4_4   36 6816.17
c1_4_5   40 7152.02
c1_4_6   40 7153.41
c1_4_7   39 7417.92
c1_4_8   37 7363.51
c1_4_9   36 7061.21
c1_410   36 6860.63
c1_6_1   60 14095.64
c1_6_2   56 14163.31
c1_6_3   56 13781.19
c1_6_4   56 13571.88
c1_6_5   60 14085.70
c1_6_6   60 14089.56
c1_6_7   58 14851.65
c1_6_8   56 14541.53
c1_6_9   56 13718.23
c1_610   56 13669.88
c1_8_1   80 25030.36
c1_8_2   73 42826.11
c1_8_3   72 24366.83
c1_8_4   72 23917.70
c1_8_5   80 25166.28
c1_8_6   80 25160.83
c1_8_7   77 26639.13
c1_8_8   74 25370.02
c1_8_9   72 24698.05
c1_810   72 24324.76
c110_1  100 42478.95
c110_2   90 63854.53
c110_3   90 40376.43
c110_4   90 39735.30
c110_5  100 42469.18
c110_6  100 42470.04
c110_7   98 42824.09
c110_8   93 42499.59
c110_9   90 41318.12
c11010   90 40586.60
c2_2_1    6 1931.44
c2_2_2    6 1863.16
c2_2_3    6 1775.11
c2_2_4    6 1703.43
c2_2_5    6 1878.85
c2_2_6    6 1857.35
c2_2_7    6 1849.46
c2_2_8    6 1820.53
c2_2_9    6 1830.05
c2_210    6 1806.60
c2_4_1   12 4116.05
c2_4_2   12 3929.89
c2_4_3   11 4109.88
c2_4_4   11 3865.45
c2_4_5   12 3938.69
c2_4_6   12 3875.94
c2_4_7   12 3894.13
c2_4_8   12 3787.08
c2_4_9   12 3865.65
c2_410   11 4115.46
c2_6_1   18 7774.10
c2_6_2   17 8380.49
c2_6_3   17 7595.43
c2_6_4   17 6993.77
c2_6_5   18 7575.20
c2_6_6   18 7472.24
c2_6_7   18 7512.33
c2_6_8   17 7778.30
c2_6_9   17 10618.66
c2_610   17 7523.34
c2_8_1   24 11654.81
c2_8_2   23 12332.37
c2_8_3   23 11438.72
c2_8_4   23 10963.49
c2_8_5   24 11432.92
c2_8_6   24 11357.86
c2_8_7   24 11378.67
c2_8_8   23 12927.45
c2_8_9   23 12301.63
c2_810   23 11163.89
c210_1   30 16879.24
c210_2   29 17144.29
c210_3   28 19298.41
c210_4   28 19403.35
c210_5   30 16561.70
c210_6   29 20272.34
c210_7   29 22540.73
c210_8   29 16315.89
c210_9   29 16751.82
c21010   28 19267.16
r1_2_1   19 5024.65
r1_2_2   18 4040.60
r1_2_3   18 3381.96
r1_2_4   18 3059.22
r1_2_5   18 4107.86
r1_2_6   18 3583.14
r1_2_7   18 3150.11
r1_2_8   18 2952.65
r1_2_9   18 3760.58
r1_210   18 3301.18
r1_4_1   38 11084.00
r1_4_2   36 8955.50
r1_4_3   36 7841.52
r1_4_4   36 7318.62
r1_4_5   36 9242.43
r1_4_6   36 8383.67
r1_4_7   36 7656.94
r1_4_8   36 7293.69
r1_4_9   36 8750.84
r1_410   36 8125.03
r1_6_1   59 21131.09
r1_6_2   54 19147.38
r1_6_3   54 17216.16
r1_6_4   54 15947.03
r1_6_5   54 20017.80
r1_6_6   54 18237.76
r1_6_7   54 16796.63
r1_6_8   54 15725.86
